Time,Altitude,Vertical Velocity,Horizontal Velocity,Total Velocity,Drag,Displacement
0,-8.504121291478903,-8.504121291478903,7.99890145600991e-17,8.504121291478903,0.0,7.99890145600991e-17
1,-25.509193123643335,-17.005071832164433,-0.00011664137705926491,17.005071832564465,1464.2579242717327,-0.00011664137705918492
2,-51.01456780348087,-25.505374679837534,-0.0004668436074499429,25.505374684110024,5874.79443629581,-0.0005834849845091278
3,-85.02218470313687,-34.007616899656,-0.0011666053002275245,34.00761691966575,13283.56110029406,-0.0017500902847366524
4,-127.53666208708,-42.51447738394313,-0.002329724869732404,42.51447744777572,23777.016861254724,-0.004079815154469056
5,-178.56541837343434,-51.02875628635435,-0.00406640115338348,51.0287564483769,37477.56944368733,-0.008146216307852536
6,-238.11882496085727,-59.553406587422934,-0.00648167016132143,59.55340694014875,54545.63447348023,-0.014627886469173967
7,-306.210393325008,-68.0915683641507,-0.009673628514298076,68.09156905130692,75182.36700060485,-0.024301514983472043
8,-382.85699973343725,-76.64660640842926,-0.013731386734267123,76.6466076384314,99633.1390477901,-0.03803290171773917
9,-468.0791516640463,-85.2221519306091,-0.018732686060959524,85.22215398942546,128191.8588440185,-0.056765587778698695
10,-561.9013008633959,-93.82214919934964,-0.02474110043210774,93.82215246149,161206.2535450961,-0.08150668821080644
11,-664.3522089754032,-102.45090811200726,-0.03180273010296125,102.45091304809634,199084.2687779351,-0.11330941831376769
12,-775.4653728431567,-111.1131638677536,-0.039942274333604796,111.11317104685449,242301.77690180336,-0.15325169264737248
13,-895.2795179799353,-119.81414513677865,-0.049158346651348314,119.81415522132643,291411.83356303454,-0.2024100392987208
14,-1023.8391703741754,-128.55965239424,-0.05941786610749727,128.5596661251523,347055.7816744107,-0.2618279054062181
15,-1161.1953188054663,-137.3561484312908,-0.07064931999690369,137.35616660057605,409976.5769914453,-0.33247722540312175
16,-1307.406182291629,-146.21086348616268,-0.0827346454578429,146.2108868942079,481034.80478796666,-0.41521187086096467
17,-1462.5381002720237,-155.13191798039472,-0.09549941625084335,155.13194737517614,561227.9791881379,-0.510711287111808
18,-1626.6665668033643,-164.12846653134065,-0.1087009428640346,164.12850252721003,651713.8741868543,-0.6194122299758427
19,-1799.8774345887264,-173.210867785362,-0.12201379357663969,173.21091076004416,753838.8401342371,-0.7414260235524823
20,-1982.2683203235792,-182.3908857348528,-0.13501211400159988,182.39093570519083,869172.3277598656,-0.8764381375540822
21,-2173.950249948946,-191.68192962536656,-0.14714795303958236,191.68198610569553,999549.1962595797,-1.0235860905936645
22,-2375.049591383497,-201.09934143455126,-0.1577245804789192,201.09940328716422,1147121.8541953259,-1.1813106710725836
23,-2585.710333744766,-210.66074236126917,-0.16586348669274853,210.6608076574692,1314424.91670507,-1.3471741577653322
